RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_X,CURRENT_FIX_Y,VIDEO_FRAME_INDEX_START,VIDEO_FRAME_INDEX_END,VIDEO_NAME_START,VIDEO_NAME_END,CURRENT_IA_Jaw,CURRENT_IA_RightEyebrow,CURRENT_IA_LeftEyebrow,CURRENT_IA_Nose,CURRENT_IA_RightEye,CURRENT_IA_LeftEye,CURRENT_IA_Mouth,CURRENT_IA_Face,CURRENT_IA_Periocular,CURRENT_IA_LeftScreen,CURRENT_IA_RightScreen,CURRENT_IA_WholeScreen,CURRENT_IA_NonFace,CURRENT_Area_Jaw,CURRENT_Area_RightEyebrow,CURRENT_Area_LeftEyebrow,CURRENT_Area_Nose,CURRENT_Area_RightEye,CURRENT_Area_LeftEye,CURRENT_Area_Mouth,CURRENT_Area_Face,CURRENT_Area_Periocular,CURRENT_Area_LeftScreen,CURRENT_Area_RightScreen,CURRENT_Area_WholeScreen
sub01,1,26,2010.6,2061.7,1044,1044,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,86154.5,4309.199249267578,4555.440761718899,10368.001037597656,4905.000076293945,4713.749313354492,9105.71897399798,222750.0,44336.7219651863,1036800.0,1036800.0,2073600.0
sub01,1,50,2028.6,2082.0,1047,1048,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,86894.0,4233.599285888486,4224.962497558445,10377.599365234375,3870.0001525878906,3807.0005798339844,8140.8583197034895,222200.0,42859.10969543457,1036800.0,1036800.0,2073600.0
sub01,1,90,2047.6,2133.6,1049,1052,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,86338.5,4019.7607763670385,4304.157919920981,10438.7978515625,4099.500732421875,4095.001983642578,10326.425159912556,223262.0,44230.65303027257,1036800.0,1036800.0,2073600.0
sub01,1,68,2075.8,2208.0,1055,1057,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,86450.5,3872.8808825686574,4330.080534667708,9734.400390625,4920.749816894531,4871.250534057617,11120.458029784262,222154.0,43278.62172143534,1036800.0,1036800.0,2073600.0
sub01,1,64,2063.2,2165.0,1058,1060,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,85021.0,4019.039626465179,4386.238747559488,9695.999725341797,4758.749313354492,4754.251174926758,10707.840590819716,217600.0,42031.67085327208,1036800.0,1036800.0,2073600.0
sub01,1,94,1645.0,1294.5,1072,1075,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,75263.0,3998.8831530762836,3967.1993591310456,8656.802154541016,5292.0001220703125,4882.500228881836,11783.460402525961,200724.0,42965.58321257308,1036800.0,1036800.0,2073600.0
sub01,1,32,1591.0,1196.9,1076,1077,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,72909.5,3684.2366235349327,3723.839974365197,7919.9993896484375,5559.750442504883,5287.499237060547,11991.721532897092,192448.0,43038.58432050794,1036800.0,1036800.0,2073600.0
sub01,1,160,1583.1,1289.4,1078,1082,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,69407.5,3871.4398461915553,3914.6399011230096,7837.19970703125,5235.749664306641,4607.996520996094,10581.479358214885,183608.0,40701.37684375048,1036800.0,1036800.0,2073600.0
sub01,1,244,1537.6,1256.1,1083,1091,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,74090.0,3605.042135009542,3315.5984802246094,7869.599517822266,4095.0011444091797,3771.0009002685547,6419.399314881302,199136.0,39023.15906127915,1036800.0,1036800.0,2073600.0
sub01,1,130,1122.0,1542.4,1092,1095,demo_video.mp4,demo_video.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,76024.0,3942.7201611325145,3463.919318847358,8546.400360107422,4889.249496459961,4445.99983215332,13475.281791992486,201488.0,40095.00518886745,1036800.0,1036800.0,2073600.0
