RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_X	CURRENT_FIX_Y	VIDEO_FRAME_INDEX_START	VIDEO_FRAME_INDEX_END	VIDEO_NAME_START	VIDEO_NAME_END
sub02	1	282	788.50	500.20	1108	1117	demo_video.mp4	demo_video.mp4
sub02	1	86	803.90	480.00	1117	1120	demo_video.mp4	demo_video.mp4
sub02	1	1226	939.90	696.00	1122	1158	demo_video.mp4	demo_video.mp4
sub02	1	242	953.50	541.40	1159	1166	demo_video.mp4	demo_video.mp4
sub02	1	556	842.10	525.00	1167	1183	demo_video.mp4	demo_video.mp4
sub02	1	368	1147.20	1335.70	1244	1255	demo_video.mp4	demo_video.mp4
sub02	1	218	973.10	591.00	1257	1264	demo_video.mp4	demo_video.mp4
sub02	1	278	969.70	443.40	1265	1273	demo_video.mp4	demo_video.mp4
sub02	1	110	877.60	364.00	1274	1277	demo_video.mp4	demo_video.mp4
sub02	1	140	905.50	387.90	1278	1282	demo_video.mp4	demo_video.mp4
sub02	1	154	846.30	410.60	1283	1288	demo_video.mp4	demo_video.mp4
sub02	1	32	793.20	357.10	1289	1290	demo_video.mp4	demo_video.mp4
sub02	1	68	873.00	380.00	1292	1294	demo_video.mp4	demo_video.mp4
sub02	1	24	780.40	373.40	1296	1297	demo_video.mp4	demo_video.mp4
sub02	1	32	964.00	334.50	1311	1312	demo_video.mp4	demo_video.mp4
sub02	1	40	815.90	307.00	1321	1322	demo_video.mp4	demo_video.mp4
sub02	1	66	944.50	455.00	1326	1328	demo_video.mp4	demo_video.mp4
sub02	1	100	892.50	542.20	1328	1331	demo_video.mp4	demo_video.mp4
sub02	1	186	920.80	512.20	1332	1337	demo_video.mp4	demo_video.mp4
sub02	1	128	917.40	497.40	1338	1342	demo_video.mp4	demo_video.mp4
sub02	1	86	869.90	423.40	1342	1345	demo_video.mp4	demo_video.mp4
sub02	1	88	851.30	468.90	1345	1348	demo_video.mp4	demo_video.mp4
sub02	1	292	823.80	476.70	1349	1357	demo_video.mp4	demo_video.mp4
sub02	1	98	1591.60	881.10	1481	1484	demo_video.mp4	demo_video.mp4
sub02	1	116	1635.20	892.00	1487	1490	demo_video.mp4	demo_video.mp4
sub02	1	64	974.60	343.50	1495	1496	demo_video.mp4	demo_video.mp4
sub02	1	26	945.70	299.80	1498	1499	demo_video.mp4	demo_video.mp4
sub02	1	40	789.10	304.80	1499	1501	demo_video.mp4	demo_video.mp4
sub02	1	22	767.60	265.30	1507	1507	demo_video.mp4	demo_video.mp4
sub02	1	24	801.40	428.50	1518	1519	demo_video.mp4	demo_video.mp4
sub02	1	42	820.10	466.50	1520	1521	demo_video.mp4	demo_video.mp4
sub02	1	548	801.60	490.90	1522	1538	demo_video.mp4	demo_video.mp4
sub02	1	334	1933.10	1243.00	1541	1551	demo_video.mp4	demo_video.mp4
sub02	1	54	1447.10	1755.30	1655	1657	demo_video.mp4	demo_video.mp4
sub02	1	148	1356.30	1642.70	1658	1662	demo_video.mp4	demo_video.mp4
sub02	1	24	1117.30	1382.70	1665	1665	demo_video.mp4	demo_video.mp4
sub02	1	38	981.00	1318.00	1666	1667	demo_video.mp4	demo_video.mp4
sub02	1	46	944.20	1331.30	1669	1670	demo_video.mp4	demo_video.mp4
sub02	1	194	951.80	1312.20	1672	1677	demo_video.mp4	demo_video.mp4
sub02	1	158	890.40	1328.80	1678	1683	demo_video.mp4	demo_video.mp4
sub02	1	50	920.00	1369.50	1685	1686	demo_video.mp4	demo_video.mp4
sub02	1	380	166.80	1092.40	1774	1785	demo_video.mp4	demo_video.mp4
sub02	1	422	989.90	630.00	1787	1799	demo_video.mp4	demo_video.mp4
sub02	1	28	942.70	599.30	1800	1	demo_video.mp4	GreenDot_highres.mp4
sub02	2	338	1239.50	496.70	1	11	demo_video.mp4	demo_video.mp4
sub02	2	1804	1155.80	509.40	11	65	demo_video.mp4	demo_video.mp4
sub02	2	70	1206.00	654.00	66	68	demo_video.mp4	demo_video.mp4
sub02	2	26	1236.30	642.30	69	70	demo_video.mp4	demo_video.mp4
sub02	2	66	1427.00	892.80	71	73	demo_video.mp4	demo_video.mp4
sub02	2	24	747.60	609.70	85	86	demo_video.mp4	demo_video.mp4
sub02	2	218	727.10	629.30	91	98	demo_video.mp4	demo_video.mp4
sub02	2	52	740.80	743.10	99	100	demo_video.mp4	demo_video.mp4
sub02	2	196	436.60	705.20	118	124	demo_video.mp4	demo_video.mp4
sub02	2	778	691.70	491.10	125	148	demo_video.mp4	demo_video.mp4
sub02	2	22	1490.20	546.10	150	150	demo_video.mp4	demo_video.mp4
sub02	2	20	1517.50	444.60	153	154	demo_video.mp4	demo_video.mp4
sub02	2	58	1451.00	414.60	155	156	demo_video.mp4	demo_video.mp4
sub02	2	200	673.80	412.50	157	163	demo_video.mp4	demo_video.mp4
sub02	2	40	1392.90	387.10	164	165	demo_video.mp4	demo_video.mp4
sub02	2	54	1111.70	1012.00	253	254	demo_video.mp4	demo_video.mp4
sub02	2	306	754.10	620.50	256	265	demo_video.mp4	demo_video.mp4
sub02	2	522	711.10	446.30	266	282	demo_video.mp4	demo_video.mp4
